price,manufacturer,condition,fuel,odometer,title_status,transmission,drive,type,paint_color,state,cylinders_num,vehicle age
11995,chevrolet,excellent,gas,182.0,clean,automatic,4wd,SUV,red,id,8,12
24777,jeep,Unknown,gas,98981.0,clean,automatic,4wd,SUV,white,ri,6,6
46000,chevrolet,good,diesel,80495.54529731194,clean,automatic,4wd,Unknown,black,ia,8,3
16500,mercedes-benz,Unknown,gas,65502.0,clean,automatic,Unknown,SUV,red,ca,6,4
3600,chevrolet,Unknown,diesel,122890.938593909,clean,automatic,Unknown,Unknown,white,wi,6,14
14800,chevrolet,good,gas,203000.0,clean,automatic,4wd,truck,white,tn,8,9
11995,gmc,Unknown,gas,169678.0,clean,automatic,Unknown,Unknown,white,mi,6,12
25999,ram,like new,gas,62000.0,clean,automatic,4wd,pickup,blue,mt,8,3
6500,ford,Unknown,gas,56609.0,clean,automatic,fwd,sedan,silver,fl,4,4
14999,nissan,excellent,gas,12025.0,clean,automatic,fwd,Unknown,silver,nj,6,1
3500,acura,excellent,gas,139985.0,clean,automatic,fwd,Unknown,grey,fl,6,14
7400,hyundai,excellent,gas,42000.0,rebuilt,automatic,fwd,sedan,grey,in,4,6
3500,honda,excellent,gas,161212.0,rebuilt,manual,fwd,sedan,grey,nc,4,12
26500,ford,good,gas,60076.0,clean,other,4wd,pickup,blue,oh,6,9
10985,chevrolet,Unknown,gas,105556.0,clean,automatic,rwd,truck,white,mi,8,17
20998,ram,Unknown,diesel,97428.0,clean,automatic,4wd,Unknown,white,mt,6,5
9999,ford,excellent,gas,117550.0,clean,automatic,Unknown,wagon,white,fl,6,10
6999,hyundai,excellent,gas,133820.0,clean,automatic,rwd,sedan,black,ca,6,7
16195,volkswagen,like new,gas,50095.0,clean,automatic,4wd,SUV,grey,me,4,4
69850,ford,Unknown,diesel,27451.0,clean,automatic,4wd,SUV,black,ia,8,6
11995,ford,excellent,gas,17000.0,clean,automatic,fwd,sedan,black,az,4,4
79500,chevrolet,excellent,gas,48012.0,clean,automatic,Unknown,convertible,green,ny,6,63
13245,nissan,Unknown,gas,33646.0,clean,automatic,fwd,sedan,silver,hi,4,3
19981,nissan,Unknown,gas,30295.0,clean,automatic,4wd,SUV,grey,ca,4,1
38950,chevrolet,Unknown,gas,0.0,clean,manual,Unknown,other,black,fl,6,53
13100,hyundai,good,gas,37022.0,clean,other,fwd,hatchback,white,nh,6,7
4500,chevrolet,good,gas,227185.3726088529,clean,automatic,rwd,Unknown,black,pa,8,37
900,ford,fair,gas,291198.0,clean,manual,4wd,truck,red,co,8,29
23998,ram,Unknown,gas,94510.0,clean,automatic,4wd,Unknown,white,ok,6,4
34999,gmc,Unknown,other,99956.0,clean,automatic,4wd,SUV,black,ks,6,5
3250,lexus,Unknown,gas,166599.0,clean,automatic,Unknown,Unknown,white,az,6,20
16800,honda,good,gas,29829.0,clean,automatic,fwd,sedan,white,tn,6,4
10990,chrysler,excellent,gas,104000.0,clean,automatic,Unknown,mini-van,red,mn,6,8
2200,ford,fair,gas,170000.0,clean,manual,rwd,pickup,green,ca,4,21
7495,gmc,excellent,gas,127589.0,clean,automatic,4wd,SUV,white,va,4,9
1799,chevrolet,good,gas,126456.42777525965,clean,automatic,fwd,Unknown,silver,sd,4,16
23995,chevrolet,good,gas,38180.0,clean,automatic,4wd,truck,black,ar,6,3
28995,ford,excellent,gas,47687.0,clean,automatic,4wd,pickup,blue,il,8,3
25500,chevrolet,Unknown,gas,286837.83016831544,clean,automatic,Unknown,Unknown,white,az,6,52
7995,ford,Unknown,other,97302.0,clean,automatic,4wd,SUV,blue,va,6,16
14995,ram,excellent,gas,97518.0,clean,automatic,4wd,pickup,white,or,6,18
2650,nissan,good,gas,157800.0,clean,automatic,fwd,sedan,grey,oh,4,14
24995,ford,Unknown,other,68719.0,clean,automatic,4wd,pickup,black,ny,6,4
3950,nissan,Unknown,gas,109947.74581785373,clean,automatic,Unknown,Unknown,white,nj,6,11
5995,kia,excellent,gas,105700.0,clean,automatic,Unknown,Unknown,white,pa,4,6
15000,buick,good,gas,35894.0,clean,automatic,fwd,sedan,blue,tn,6,7
2000,nissan,Unknown,gas,148777.33155981946,clean,automatic,Unknown,Unknown,white,mt,6,20
6995,bmw,Unknown,gas,131324.0,clean,automatic,Unknown,Unknown,white,ny,6,12
51999,ford,Unknown,diesel,37361.0,clean,automatic,4wd,truck,red,id,6,4
4900,ford,good,hybrid,152000.0,clean,automatic,fwd,sedan,silver,az,6,10
14000,dodge,Unknown,gas,79746.88661362944,clean,automatic,Unknown,Unknown,white,ca,6,4
13989,chevrolet,good,gas,24096.0,clean,automatic,Unknown,hatchback,white,nc,6,3
31400,toyota,good,gas,58714.0,clean,automatic,4wd,pickup,white,tn,8,5
19900,gmc,excellent,gas,135000.0,clean,automatic,4wd,truck,black,ms,8,8
38500,ford,Unknown,gas,1490.0,clean,automatic,4wd,SUV,white,mi,6,1
15977,toyota,Unknown,gas,50051.0,clean,automatic,fwd,Unknown,purple,ms,6,3
13598,honda,Unknown,gas,88701.0,clean,automatic,Unknown,SUV,silver,tx,6,7
10988,ford,excellent,gas,122542.0,clean,automatic,rwd,convertible,grey,il,8,15
4700,mercedes-benz,good,gas,159000.0,clean,automatic,rwd,coupe,red,mo,8,36
12500,nissan,excellent,gas,113000.0,clean,automatic,4wd,truck,white,tx,6,8
68844,mercedes-benz,Unknown,gas,8386.0,clean,automatic,Unknown,SUV,white,ca,6,1
11500,volkswagen,like new,diesel,43000.0,clean,automatic,Unknown,hatchback,white,mi,6,9
20500,ram,excellent,diesel,154663.0,clean,automatic,4wd,truck,silver,ar,6,6
1300,chevrolet,good,gas,317000.0,clean,automatic,fwd,Unknown,brown,ca,8,20
48499,gmc,excellent,gas,48499.0,clean,automatic,4wd,Unknown,red,mi,8,4
41995,ram,Unknown,diesel,121625.0,clean,manual,4wd,Unknown,black,il,6,2
24980,chevrolet,Unknown,gas,14105.0,clean,automatic,fwd,pickup,white,ca,6,2
12500,lexus,Unknown,gas,161720.43495839802,clean,automatic,Unknown,Unknown,white,ny,6,23
6000,audi,Unknown,gas,148777.2986095976,clean,manual,Unknown,Unknown,white,ny,6,20
5999,honda,Unknown,gas,183083.0,clean,automatic,fwd,SUV,white,co,6,13
29900,ram,excellent,diesel,177873.0,clean,automatic,4wd,pickup,grey,mi,6,3
11495,ford,excellent,gas,110696.60595095485,clean,automatic,rwd,pickup,white,co,8,10
21900,dodge,Unknown,gas,32338.0,clean,automatic,rwd,sedan,white,tx,6,2
1988,ford,Unknown,gas,140148.53839672953,clean,automatic,Unknown,Unknown,white,ok,6,18
10901,toyota,Unknown,gas,156683.0,clean,automatic,4wd,pickup,silver,tx,8,14
16985,mercedes-benz,excellent,gas,83599.0,clean,automatic,4wd,SUV,white,ca,6,8
16099,dodge,excellent,gas,46848.0,clean,automatic,fwd,mini-van,red,ia,6,1
12888,chevrolet,Unknown,diesel,150394.0,clean,automatic,fwd,pickup,white,ca,6,19
14641,ford,Unknown,gas,63341.0,clean,manual,fwd,hatchback,black,oh,4,5
23600,ford,good,gas,12322.0,clean,other,Unknown,pickup,white,ks,6,2
8900,nissan,good,gas,157000.0,clean,automatic,4wd,Unknown,white,oh,8,7
6495,chevrolet,Unknown,gas,119482.0,clean,automatic,fwd,sedan,black,va,6,10
30988,chevrolet,excellent,gas,43865.0,clean,automatic,4wd,truck,blue,ks,8,4
3900,ford,good,gas,140228.0,clean,automatic,fwd,SUV,black,mi,4,9
12990,jeep,excellent,gas,81576.0,clean,automatic,4wd,SUV,white,ny,4,4
3500,chevrolet,good,gas,140897.44822700266,clean,automatic,4wd,Unknown,white,mi,8,17
14500,bmw,Unknown,gas,62795.0,clean,automatic,rwd,sedan,white,al,8,10
8995,kia,excellent,gas,107364.0,clean,automatic,4wd,SUV,silver,pa,4,6
3300,cadillac,fair,gas,130000.0,clean,automatic,Unknown,Unknown,white,fl,8,18
6295,toyota,excellent,gas,163453.0,clean,automatic,Unknown,Unknown,white,ga,4,12
13995,gmc,excellent,diesel,172000.0,clean,automatic,4wd,truck,black,pa,8,16
2800,chevrolet,good,gas,215000.0,clean,automatic,rwd,pickup,green,ms,8,18
3800,mercedes-benz,excellent,gas,131519.73020833847,clean,automatic,rwd,sedan,white,pa,6,16
12000,ram,Unknown,gas,88000.0,clean,automatic,Unknown,Unknown,white,nm,6,10
4200,honda,Unknown,gas,127205.330282346,clean,automatic,Unknown,Unknown,white,ar,6,15
28229,ford,Unknown,gas,42137.0,clean,automatic,4wd,pickup,silver,id,6,2
17995,dodge,Unknown,gas,75424.0,clean,automatic,rwd,sedan,blue,id,6,4
8900,honda,excellent,gas,79000.0,clean,automatic,fwd,Unknown,white,ca,6,13
29999,toyota,like new,gas,49416.0,clean,automatic,4wd,truck,white,ak,8,6
9800,jeep,good,gas,140000.0,clean,other,4wd,SUV,white,ga,6,15
11500,ford,good,diesel,131557.0,clean,automatic,4wd,truck,grey,mt,8,17
13995,dodge,excellent,other,52390.0,clean,automatic,fwd,van,white,ca,6,6
1500,mercury,fair,gas,313473.329940925,missing,automatic,rwd,Unknown,white,tn,8,57
1600,saturn,like new,gas,185448.0,clean,automatic,fwd,SUV,silver,oh,6,16
3799,mini,Unknown,gas,118576.54032366516,clean,automatic,Unknown,Unknown,white,hi,6,13
16490,gmc,good,gas,61030.0,clean,automatic,4wd,truck,black,wi,8,19
2995,kia,excellent,gas,122723.0,clean,manual,fwd,sedan,silver,id,4,15
6998,chevrolet,Unknown,gas,174166.0,clean,automatic,rwd,truck,white,mt,8,15
2000,ram,good,gas,192000.0,clean,automatic,Unknown,Unknown,white,ca,6,22
22000,chevrolet,excellent,gas,115800.0,clean,automatic,4wd,truck,brown,pa,8,9
29498,ford,Unknown,gas,29105.0,clean,automatic,4wd,truck,white,mt,6,4
16500,toyota,excellent,gas,194000.0,clean,automatic,4wd,SUV,grey,ca,6,12
14995,rover,Unknown,gas,86064.0,clean,automatic,4wd,SUV,white,nj,6,9
3195,nissan,good,gas,179230.0,clean,automatic,fwd,mini-van,grey,ga,6,13
4500,chevrolet,Unknown,gas,135834.12107301992,clean,automatic,Unknown,Unknown,white,sc,6,17
5900,ford,good,gas,125952.0,clean,automatic,4wd,sedan,red,mi,6,13
500,chevrolet,excellent,gas,111492.0,clean,automatic,4wd,SUV,grey,or,6,8
6200,chevrolet,like new,gas,158000.0,clean,automatic,fwd,SUV,white,tn,4,9
24777,chevrolet,Unknown,gas,149238.0,clean,automatic,4wd,SUV,white,ca,6,4
25995,chevrolet,Unknown,gas,97806.0,clean,automatic,4wd,SUV,silver,va,8,5
28995,ford,Unknown,gas,45000.0,clean,automatic,4wd,pickup,white,ks,6,4
35000,ford,excellent,gas,243693.78560183576,clean,automatic,4wd,Unknown,blue,wv,6,42
8800,gmc,Unknown,gas,101318.91260376922,clean,automatic,Unknown,Unknown,white,ar,6,9
45999,cadillac,like new,gas,32000.0,clean,automatic,4wd,Unknown,white,mi,8,4
37498,dodge,Unknown,gas,10797.0,clean,automatic,rwd,coupe,white,mt,8,4
38990,ford,like new,gas,37571.0,clean,automatic,4wd,truck,white,mt,8,2
11900,chevrolet,Unknown,gas,89124.61945989344,salvage,automatic,4wd,Unknown,white,mi,8,5
13998,chevrolet,good,gas,141435.0,clean,automatic,rwd,truck,white,ca,8,13
28885,ram,Unknown,gas,77327.0,clean,automatic,4wd,truck,white,id,8,6
26995,chevrolet,Unknown,gas,35147.0,clean,automatic,Unknown,Unknown,white,sc,6,5
50457,gmc,new,gas,1593.0,clean,automatic,Unknown,Unknown,white,il,6,1
3495,toyota,good,gas,144000.0,clean,automatic,fwd,sedan,red,oh,4,14
2500,jeep,like new,gas,164512.0,clean,automatic,4wd,SUV,grey,il,6,14
10000,chevrolet,excellent,gas,74683.60064742394,clean,automatic,fwd,coupe,white,fl,4,4
31499,jeep,Unknown,gas,29691.0,clean,automatic,4wd,SUV,white,ut,8,4
21500,gmc,excellent,gas,76266.0,clean,automatic,4wd,SUV,black,wi,6,5
4000,ford,excellent,gas,150000.0,clean,automatic,fwd,SUV,blue,oh,6,11
32990,gmc,Unknown,diesel,93103.0,clean,automatic,4wd,pickup,red,ri,6,9
9800,chevrolet,like new,gas,102900.0,clean,automatic,Unknown,SUV,green,ny,6,7
18995,volkswagen,Unknown,gas,2241.0,clean,automatic,Unknown,Unknown,white,nj,6,2
5946,gmc,Unknown,gas,122890.9192686039,clean,automatic,Unknown,Unknown,white,il,6,14
15750,honda,Unknown,gas,20875.0,clean,automatic,fwd,hatchback,black,ar,4,4
12995,mercedes-benz,Unknown,gas,92619.0,clean,automatic,Unknown,SUV,white,or,6,9
15995,jeep,excellent,gas,58125.0,clean,automatic,fwd,SUV,white,mi,4,4
6200,honda,excellent,gas,103887.0,clean,automatic,fwd,sedan,black,ca,4,12
5500,mercedes-benz,like new,gas,138000.0,clean,automatic,4wd,sedan,red,pa,6,17
2495,volkswagen,good,gas,103786.0,clean,automatic,fwd,sedan,white,fl,4,15
25998,chevrolet,like new,gas,71117.99451749852,clean,automatic,4wd,Unknown,white,nc,6,2
13700,toyota,Unknown,gas,21330.0,clean,automatic,fwd,sedan,white,nc,6,5
5500,chevrolet,good,gas,230000.0,clean,automatic,4wd,SUV,silver,mn,8,13
30470,mercedes-benz,excellent,gas,31111.0,clean,automatic,Unknown,Unknown,white,ct,6,3
19498,mercedes-benz,Unknown,gas,77112.0,clean,automatic,Unknown,SUV,white,fl,6,6
1999,ford,Unknown,gas,163590.0,clean,automatic,fwd,sedan,black,wi,6,11
7995,bmw,excellent,gas,119675.0,clean,manual,rwd,sedan,grey,nc,6,13
10995,buick,Unknown,gas,132836.0,clean,automatic,Unknown,SUV,white,mi,6,10
3995,mazda,Unknown,gas,165973.0,clean,manual,Unknown,sedan,red,ca,6,10
29600,chevrolet,good,gas,7051.0,clean,automatic,4wd,pickup,blue,fl,8,4
13991,ram,like new,gas,78350.0,rebuilt,automatic,4wd,pickup,silver,wa,8,8
43923,gmc,Unknown,gas,55148.0,clean,automatic,4wd,Unknown,white,ar,6,4
18998,gmc,Unknown,gas,128703.0,clean,automatic,4wd,SUV,white,wa,6,6
42950,gmc,Unknown,gas,27610.0,clean,automatic,Unknown,Unknown,white,wi,6,2
8950,chevrolet,Unknown,gas,36587.0,salvage,automatic,rwd,coupe,white,la,4,3
3800,audi,Unknown,gas,122890.93694639792,clean,automatic,Unknown,Unknown,white,wa,6,14
28999,ford,Unknown,gas,40972.0,clean,automatic,4wd,truck,grey,wa,6,4
19490,chrysler,good,gas,26991.0,clean,automatic,4wd,sedan,white,in,6,4
3550,honda,excellent,gas,173458.0,clean,automatic,fwd,sedan,silver,oh,4,13
36995,mercedes-benz,Unknown,gas,55044.0,clean,automatic,rwd,convertible,silver,ca,6,7
22995,chevrolet,Unknown,gas,145069.0,clean,automatic,4wd,truck,silver,ar,8,6
5988,nissan,Unknown,gas,60016.0,clean,automatic,fwd,Unknown,white,fl,4,12
13995,jeep,excellent,gas,169000.0,clean,automatic,4wd,SUV,blue,ks,6,11
6500,ford,fair,diesel,158155.01003821747,clean,manual,4wd,truck,white,ri,8,21
24599,subaru,Unknown,gas,27855.0,clean,automatic,4wd,SUV,custom,co,4,3
29785,dodge,Unknown,gas,15622.0,clean,automatic,rwd,coupe,red,fl,8,4
