price,odometer,cylinders_num,vehicle age,brand_price,condition_ordinal,title_status_ordinal,fuel_diesel,fuel_electric,fuel_gas,fuel_hybrid,fuel_other,trans_automatic,trans_manual,trans_other,drive_4wd,drive_Unknown,drive_fwd,drive_rwd,color_black,color_other,color_silver & grey,color_white,type_SUV,type_Unknown,type_other,type_sedan,type_truck-pickup
4.983293329946127e-07,0.0150165,0.7142857142857142,0.14049586776859505,0.17936811094883226,0.5,0.4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.9997061695809464e-06,0.0083,0.42857142857142855,0.0743801652892562,0.034702717547341735,0.875,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0263528720634306e-05,0.0020963,1.0,0.016528925619834708,0.034702717547341735,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.3872110863852264e-06,0.0201801,1.0,0.18181818181818185,0.17936811094883226,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.221934635364159e-06,0.013369399999999998,0.42857142857142855,0.10743801652892562,0.09826611242182527,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.2774817175155134e-06,0.0045,0.42857142857142855,0.04958677685950413,0.17936811094883226,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.2205377301889265e-06,0.0178054,1.0,0.1487603305785124,0.2517070491455392,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.191600908590373e-07,0.0158085,0.7142857142857142,0.10743801652892562,0.0948894631065174,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.2774897449510722e-06,0.0153,0.42857142857142855,0.11570247933884298,0.05305271567489296,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.5274877380921826e-06,0.016399999999999998,1.0,0.1487603305785124,0.17936811094883226,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2.2219266079286e-06,0.0125,1.0,0.12396694214876032,0.16165474540937974,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.388599964124899e-06,0.011857653043036109,0.7142857142857142,0.11570247933884298,0.16811469372979318,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.4719246010697097e-06,0.0135,1.0,0.10743801652892562,0.17936811094883226,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.2194068778779545e-05,0.0031,1.0,0.04132231404958678,0.17936811094883226,0.875,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2.194149053135143e-06,0.016999999999999998,0.7142857142857142,0.05785123966942149,0.0948894631065174,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8.22187844331524e-06,0.007049799999999998,0.7142857142857142,0.04132231404958678,0.034702717547341735,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
3.03886449440416e-07,0.023,1.0,0.231404958677686,0.17936811094883226,0.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.663835394950256e-07,0.0095,0.42857142857142855,0.2066115702479339,0.10290978541736884,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
4.166077667922632e-06,0.0058855,0.42857142857142855,0.04132231404958678,0.11768964785479785,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
3.886079915604589e-07,0.016802900000000003,0.42857142857142855,0.2727272727272727,0.06679648978267111,0.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2.208037830531871e-06,0.016699900000000004,1.0,0.14049586776859505,0.17936811094883226,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0777691259861188e-07,0.0027,1.0,0.033057851239669415,0.17936811094883226,0.875,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.1108244161903324e-06,0.0177656,1.0,0.19834710743801653,0.17936811094883226,0.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
7.498273140945696e-06,0.0131471,1.0,0.04132231404958678,0.17936811094883226,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.7721999683869764e-07,0.004,0.42857142857142855,0.02479338842975207,0.03367287071365265,0.875,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
9.719366422230489e-07,0.020120500000000003,1.0,0.10743801652892562,0.034702717547341735,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2.194149053135143e-06,0.010832799999999998,0.42857142857142855,0.06611570247933883,0.17936811094883226,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3.888579895536e-06,0.014,0.7142857142857142,0.08264462809917356,0.034702717547341735,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8.052435359075156e-06,0.0171693,1.0,0.04958677685950413,0.034702717547341735,0.75,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.9997061695809464e-06,0.0192101,0.7142857142857142,0.231404958677686,0.10290978541736884,0.25,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.721930621646379e-06,0.008199999999999999,0.7142857142857142,0.11570247933884298,0.03776105056860029,0.875,0.6000000000000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.4858133784664373e-06,0.0116227,0.42857142857142855,0.09917355371900828,0.03367287071365265,0.875,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.941651080062621e-07,0.015,0.7142857142857142,0.17355371900826447,0.16165474540937974,0.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.624709179869281e-06,0.0080877,0.7142857142857142,0.09090909090909093,0.17936811094883226,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2.4997021558631662e-06,0.016603486042081242,0.7142857142857142,0.2066115702479339,0.09826611242182527,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
6.513558823517656e-06,0.009343892094709826,1.0,0.05785123966942149,0.034702717547341735,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.745501406043019e-06,0.0030905,0.7142857142857142,0.04132231404958678,0.13872973074186426,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
